IC_NId;IC_Parent_GId;IC_GId;IC_Name;IC_Global;IC_Info;IC_Type
118;13F6C4BD-0D85-4856-BBFF-E08D1587E7AB;BD5D6773-3B38-4A05-A130-1851FED3689D;Cible 1. Réduire de moitié, entre 1990 et 2015, la proportion de la population dont le revenu est inférieur à un dollar par jour;TRUE;;GL
119;13F6C4BD-0D85-4856-BBFF-E08D1587E7AB;009B0C7B-37F6-4B5F-BFE3-55DBCE894B37;Cible 2. Réduire de moitié, entre 1990 et 2015, la proportion de la population qui souffre de la faim;TRUE;;GL
125;56B5BADA-CEBE-4AA1-ADC6-5E4FE17B6059;A57296CE-2931-4FB9-84E0-AA37672975C7;Cible 3. D'ici à 2015, donner à tous les enfants, garçons et filles, partout dans le monde, les moyens d'achever un cycle complet d'études primaires;TRUE;;GL
134;E990F012-1BB0-42AF-B582-24581B04C917;E5604F5D-EC9B-457D-BF52-02CCE19EAC83;Cible 4. Éliminer les disparités entre les sexes dans les enseignements primaire et secondaire d'ici à 2005 si possible, et à tous les niveaux de l'enseignement en 2015 au plus tard;TRUE;;GL
117;1191B9EC-F63B-44B0-855D-D8A787DF411A;7A611BD3-983B-4BBD-B059-A4A145511C18;Cible 5. Réduire de deux tiers, entre 1990 et 2015, le taux de mortalité des enfants de moins de cinq ans;TRUE;;GL
126;CD8FCDB9-A44C-41EF-8DC8-C70182873B51;658FF97B-EB6E-45F7-8E3A-2D8E8DE70195;Cible 6. Réduire de trois quarts, entre 1990 et 2015, le taux de mortalité maternelle;TRUE;;GL
123;3EDBBEB3-06CE-4EFC-9C81-18E29D104737;3F1F9C07-B8BD-4E72-A87A-D6762C484301;Cible 7. D'ici à 2015, avoir stoppé la propagation du VIH/sida et commencé à inverser la tendance actuelle;TRUE;;GL
124;3EDBBEB3-06CE-4EFC-9C81-18E29D104737;C0038747-5AE0-402D-A05E-DC3EEF2B88C8;Cible 8. D'ici à 2015, avoir maîtrisé le paludisme et d'autres grandes maladies, et avoir commencé à inverser la tendance actuelle;TRUE;;GL
120;2384F7ED-9D34-4771-BCE0-141BF2486E52;D09E6768-E5E9-4550-B689-B571CE3CDA11;Cible 10. Réduire de moitié, d'ici à 2015, le pourcentage de la population qui n'a pas accès de façon durable à un approvisionnement en eau de boisson salubre et à des services d'assainissement de base;TRUE;;GL
121;2384F7ED-9D34-4771-BCE0-141BF2486E52;CBD4C914-3120-40D4-840A-3DD9B43F2D1F;Cible 11. Réussir, d'ici à 2020, à améliorer sensiblement la vie d'au moins 100 millions d'habitants de taudis;TRUE;;GL
122;2384F7ED-9D34-4771-BCE0-141BF2486E52;36D558D9-90A2-418F-886A-7D8DB00D3345;Cible 9. Intégrer les principes du développement durable dans les politiques nationales et inverser la tendance actuelle à la déperdition des ressources environnementales;TRUE;;GL
127;D7FE9463-BBEE-4B47-BD2B-1EDA3563171F;96BC2EB9-24F8-470C-82D5-809A756F6190;Cible 12. Poursuivre la mise en place d'un système commercial et financier multilatéral ouvert, fondé sur des règles, prévisible et non discriminatoire;TRUE;;GL
128;D7FE9463-BBEE-4B47-BD2B-1EDA3563171F;1697BC8F-06CD-46CA-AC6D-DCE63BEAF591;Cible 13. S'attaquer aux besoins particuliers des pays les moins avancés;TRUE;;GL
129;D7FE9463-BBEE-4B47-BD2B-1EDA3563171F;215F2551-DFB9-4A8A-872D-FE53013CD736;Cible 14. Répondre aux besoins particuliers des petits Etats insulaires en développement (PEID) (en appliquant le Programme d'action pour le développement durable des PEID et les conclusions de la 22ème session extraordinaire de l'Assemblée générale);TRUE;;GL
130;D7FE9463-BBEE-4B47-BD2B-1EDA3563171F;DAED44B8-D57B-4364-9182-E4D5020422C0;Cible 15. Traiter globalement le problème de la dette des pays en développement, par des mesures d'ordre national et international propres à rendre leur endettement viable à long terme;TRUE;;GL
131;D7FE9463-BBEE-4B47-BD2B-1EDA3563171F;5D771A1A-BD97-4F2E-ADDE-C46541F98AD2;Cible 16. En coopération avec les pays en développement, formuler et appliquer des stratégies qui permettent aux jeunes de trouver un travail décent et utile;TRUE;;GL
132;D7FE9463-BBEE-4B47-BD2B-1EDA3563171F;27394848-2D54-4B01-ADFB-2A7E5AEDC564;Cible 17. En coopération avec l'industrie pharmaceutique, rendre les médicaments essentiels disponibles et abordables dans les pays en développement;TRUE;;GL
133;D7FE9463-BBEE-4B47-BD2B-1EDA3563171F;159B089A-0FD2-4C34-A577-DE9604E8DB67;Cible 18. En coopération avec le secteur privé, faire en sorte que les avantages des nouvelles technologies, en particulier des technologies de l'information et de la communication, soient accordés à tous;TRUE;;GL
